Vehicles,Column1,Month,Year,Units,Vehicles.1,Vehicles_Cleaned,Classification,Category.1,Date
Honda City,Sale,May,2008,658.0,Honda City,Honda Cars (Civic & City),1300cc and Above,CARS,2008-05-01
Honda City,Sale,Jun,2008,942.0,Honda City,Honda Cars (Civic & City),1300cc and Above,CARS,2008-06-01
Suzuki Liana,Prod.,Jul,2007,353.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-07-01
Suzuki Liana,Prod.,Aug,2007,199.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-08-01
Suzuki Liana,Prod.,Sep,2007,514.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-09-01
Suzuki Liana,Prod.,Oct,2007,439.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-10-01
Suzuki Liana,Prod.,Nov,2007,306.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-11-01
Suzuki Liana,Prod.,Dec,2007,10.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-12-01
Suzuki Liana,Prod.,Jan,2008,30.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-01-01
Suzuki Liana,Prod.,Feb,2008,175.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-02-01
Suzuki Liana,Prod.,Mar,2008,280.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-03-01
Suzuki Liana,Prod.,Apr,2008,145.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-04-01
Suzuki Liana,Prod.,May,2008,96.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-05-01
Suzuki Liana,Prod.,Jun,2008,58.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-06-01
Suzuki Liana,Sale,Jul,2007,318.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-07-01
Suzuki Liana,Sale,Aug,2007,613.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-08-01
Suzuki Liana,Sale,Sep,2007,386.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-09-01
Suzuki Liana,Sale,Oct,2007,162.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-10-01
Suzuki Liana,Sale,Nov,2007,192.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-11-01
Suzuki Liana,Sale,Dec,2007,175.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2007-12-01
Suzuki Liana,Sale,Jan,2008,180.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-01-01
Suzuki Liana,Sale,Feb,2008,186.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-02-01
Suzuki Liana,Sale,Mar,2008,208.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-03-01
Suzuki Liana,Sale,Apr,2008,196.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-04-01
Suzuki Liana,Sale,May,2008,148.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-05-01
Suzuki Liana,Sale,Jun,2008,219.0,Suzuki Liana,Suzuki Liana,1300cc and Above,CARS,2008-06-01
Toyota Corolla,Prod.,Jul,2007,3745.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-07-01
Toyota Corolla,Prod.,Aug,2007,3404.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-08-01
Toyota Corolla,Prod.,Sep,2007,2826.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-09-01
Toyota Corolla,Prod.,Oct,2007,2543.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-10-01
Toyota Corolla,Prod.,Nov,2007,2702.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-11-01
Toyota Corolla,Prod.,Dec,2007,1690.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-12-01
Toyota Corolla,Prod.,Jan,2008,1888.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-01-01
Toyota Corolla,Prod.,Feb,2008,2654.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-02-01
Toyota Corolla,Prod.,Mar,2008,2944.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-03-01
Toyota Corolla,Prod.,Apr,2008,3091.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-04-01
Toyota Corolla,Prod.,May,2008,3034.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-05-01
Toyota Corolla,Prod.,Jun,2008,3151.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-06-01
Toyota Corolla,Sale,Jul,2007,3414.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-07-01
Toyota Corolla,Sale,Aug,2007,3711.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-08-01
Toyota Corolla,Sale,Sep,2007,2546.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-09-01
Toyota Corolla,Sale,Oct,2007,2531.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-10-01
Toyota Corolla,Sale,Nov,2007,2637.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-11-01
Toyota Corolla,Sale,Dec,2007,1141.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2007-12-01
Toyota Corolla,Sale,Jan,2008,2485.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-01-01
Toyota Corolla,Sale,Feb,2008,2704.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-02-01
Toyota Corolla,Sale,Mar,2008,3054.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-03-01
Toyota Corolla,Sale,Apr,2008,3054.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-04-01
Toyota Corolla,Sale,May,2008,2923.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-05-01
Toyota Corolla,Sale,Jun,2008,3440.0,Toyota Corolla,"Toyota(Corolla, Yaris & Corolla Cross)",1300cc and Above,CARS,2008-06-01
Suzuki Cultus,Prod.,Jul,2007,709.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-07-01
Suzuki Cultus,Prod.,Aug,2007,3166.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-08-01
Suzuki Cultus,Prod.,Sep,2007,3019.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-09-01
Suzuki Cultus,Prod.,Oct,2007,3131.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-10-01
Suzuki Cultus,Prod.,Nov,2007,2047.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-11-01
Suzuki Cultus,Prod.,Dec,2007,1739.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-12-01
Suzuki Cultus,Prod.,Jan,2008,1524.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-01-01
Suzuki Cultus,Prod.,Feb,2008,2040.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-02-01
Suzuki Cultus,Prod.,Mar,2008,2477.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-03-01
Suzuki Cultus,Prod.,Apr,2008,2980.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-04-01
Suzuki Cultus,Prod.,May,2008,2966.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-05-01
Suzuki Cultus,Prod.,Jun,2008,1864.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-06-01
Suzuki Cultus,Sale,Jul,2007,389.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-07-01
Suzuki Cultus,Sale,Aug,2007,3398.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-08-01
Suzuki Cultus,Sale,Sep,2007,2340.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-09-01
Suzuki Cultus,Sale,Oct,2007,2838.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-10-01
Suzuki Cultus,Sale,Nov,2007,1712.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-11-01
Suzuki Cultus,Sale,Dec,2007,1674.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2007-12-01
Suzuki Cultus,Sale,Jan,2008,2080.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-01-01
Suzuki Cultus,Sale,Feb,2008,2204.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-02-01
Suzuki Cultus,Sale,Mar,2008,2707.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-03-01
Suzuki Cultus,Sale,Apr,2008,2795.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-04-01
Suzuki Cultus,Sale,May,2008,2221.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-05-01
Suzuki Cultus,Sale,Jun,2008,3205.0,Suzuki Cultus,Suzuki Cultus,1000cc,CARS,2008-06-01
Suzuki Alto,Prod.,Jul,2007,1981.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-07-01
Suzuki Alto,Prod.,Aug,2007,1847.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-08-01
Suzuki Alto,Prod.,Sep,2007,1777.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-09-01
Suzuki Alto,Prod.,Oct,2007,1590.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-10-01
Suzuki Alto,Prod.,Nov,2007,1947.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-11-01
Suzuki Alto,Prod.,Dec,2007,1452.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-12-01
Suzuki Alto,Prod.,Jan,2008,632.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-01-01
Suzuki Alto,Prod.,Feb,2008,1509.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-02-01
Suzuki Alto,Prod.,Mar,2008,1672.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-03-01
Suzuki Alto,Prod.,Apr,2008,1604.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-04-01
Suzuki Alto,Prod.,May,2008,1608.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-05-01
Suzuki Alto,Prod.,Jun,2008,1186.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-06-01
Suzuki Alto,Sale,Jul,2007,1320.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-07-01
Suzuki Alto,Sale,Aug,2007,2617.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-08-01
Suzuki Alto,Sale,Sep,2007,1253.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-09-01
Suzuki Alto,Sale,Oct,2007,1537.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-10-01
Suzuki Alto,Sale,Nov,2007,1264.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-11-01
Suzuki Alto,Sale,Dec,2007,821.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2007-12-01
Suzuki Alto,Sale,Jan,2008,1386.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-01-01
Suzuki Alto,Sale,Feb,2008,1417.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-02-01
Suzuki Alto,Sale,Mar,2008,2070.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-03-01
Suzuki Alto,Sale,Apr,2008,1865.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-04-01
Suzuki Alto,Sale,May,2008,1627.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-05-01
Suzuki Alto,Sale,Jun,2008,1920.0,Suzuki Alto,Suzuki Alto,1000CC,CARS,2008-06-01
Hyundai Santro,Prod.,Jul,2007,302.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-07-01
Hyundai Santro,Prod.,Aug,2007,253.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-08-01
Hyundai Santro,Prod.,Sep,2007,333.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-09-01
Hyundai Santro,Prod.,Oct,2007,134.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-10-01
Hyundai Santro,Prod.,Nov,2007,86.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-11-01
Hyundai Santro,Prod.,Dec,2007,81.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-12-01
Hyundai Santro,Prod.,Jan,2008,96.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-01-01
Hyundai Santro,Prod.,Feb,2008,81.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-02-01
Hyundai Santro,Prod.,Mar,2008,161.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-03-01
Hyundai Santro,Prod.,Apr,2008,181.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-04-01
Hyundai Santro,Prod.,May,2008,222.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-05-01
Hyundai Santro,Prod.,Jun,2008,98.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-06-01
Hyundai Santro,Sale,Jul,2007,302.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-07-01
Hyundai Santro,Sale,Aug,2007,391.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-08-01
Hyundai Santro,Sale,Sep,2007,301.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-09-01
Hyundai Santro,Sale,Oct,2007,158.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-10-01
Hyundai Santro,Sale,Nov,2007,152.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-11-01
Hyundai Santro,Sale,Dec,2007,76.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2007-12-01
Hyundai Santro,Sale,Jan,2008,101.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-01-01
Hyundai Santro,Sale,Feb,2008,102.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-02-01
Hyundai Santro,Sale,Mar,2008,162.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-03-01
Hyundai Santro,Sale,Apr,2008,179.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-04-01
Hyundai Santro,Sale,May,2008,101.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-05-01
Hyundai Santro,Sale,Jun,2008,202.0,Hyundai Santro,Hyundai Santro,1000cc,CARS,2008-06-01
Daihatsu Cuore,Prod.,Jul,2007,1104.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-07-01
Daihatsu Cuore,Prod.,Aug,2007,1235.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-08-01
Daihatsu Cuore,Prod.,Sep,2007,837.0,Daihatsu Cuore,Daihatsu Cuore,800 cc & Below 1000cc,CARS,2007-09-01
